,PicCount,List Price,Sold Price,Tot BR,Tot Baths,TotFlArea,Age,TotalPrkng,# Rms,Fireplaces,Gross Taxes,Taxes/TotFlArea,Strata Maint Fee,View_Score,Baths,GST Incl,Title to Land 0,Title to Land 1,Title to Land 2,Title to Land 3,Title to Land 4,Title to Land 5,Title to Land 6,District 21,District 16,District 11,District 10,District 15,District 18,District 26,District 20,District 13,District 22,District 17,District 14,District 27,District 8,District 7,District 9,District 6,District 3,District 31,District 12,District 25,District 4,District 32,District 5,District 23,District 19,District 2,DOM,Address_IsPH
R2050687,-2.302161027511484,-0.8612355531333944,-0.9146698830265205,-0.6576829802210812,-0.8076088499514855,-0.8620369496653032,-0.5202114736481156,-0.1270117087732673,-1.1115871990321609,1.5271178725774979,-0.05759322494739343,-0.014214292456298698,-0.8181959716811181,2.0637246377566663,-0.818122021519067,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
R2050161,-2.6430995049110813,-0.34449333132551435,-0.38551957014649146,0.8694335713973095,0.9478831840426758,0.2138217898016122,-0.2877009883148455,-0.1270117087732673,0.15571342074694838,1.5271178725774979,-0.02630722255513471,-0.027676968917529843,0.4014118805809773,-0.7917560179078185,1.0763591766107998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,1
R2049384,0.7662852690848909,-0.03861901169035664,0.48036276002082884,0.8694335713973095,0.9478831840426758,0.08664360015216854,0.09981648724060486,-0.1270117087732673,0.15571342074694838,1.5271178725774979,0.007267350264612757,-0.0010124178358120555,0.17017032653988126,2.0637246377566663,0.12911857754586636,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0
R2049572,-0.08606092441410211,-0.06642576802082553,0.0017222497338934596,0.8694335713973095,0.9478831840426758,0.6572268293902132,0.09981648724060486,-0.1270117087732673,0.15571342074694838,-0.6262828060694792,0.009810605989596299,-0.017471045357658952,0.6685118460514327,0.7946221241280065,1.0763591766107998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0
R2050642,-2.4726302662112825,-0.7108473459794419,-0.8064345917556055,-0.6576829802210812,-0.8076088499514855,-0.9720288974702275,-0.830225454092476,-0.1270117087732673,-1.1115871990321609,-0.6262828060694792,-0.050980040612443295,-0.0012972405277748259,-0.9220949654697159,-0.7917560179078185,-0.818122021519067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
R2048984,0.5958160303850923,-0.712932852704227,-0.628447668332323,-0.6576829802210812,-0.8076088499514855,-0.5458100997261459,-0.5977149687592057,-0.1270117087732673,0.15571342074694838,-0.6262828060694792,-0.03877097423253641,-0.011038672105251114,-0.5628479225614611,0.7946221241280065,-0.818122021519067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0
R2048988,0.7662852690848909,-0.7203479877256854,-0.6260424396374138,0.8694335713973095,0.9478831840426758,0.07976910341436078,1.3398724090180458,-0.1270117087732673,-0.47793688914260624,-0.6262828060694792,-0.04716479729997149,-0.03822304012518106,-0.6273327968966116,-1.4263072747221484,1.0763591766107998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,0
R2048937,-1.6202840727122896,-0.8079392701666624,-0.7703561613319672,-0.6576829802210812,-0.8076088499514855,-0.4461298970279333,-0.5202114736481156,-2.420634290546221,-0.47793688914260624,-0.6262828060694792,-0.05072535531494846,-0.02528235953251143,-0.4069391656408681,1.1118977525351714,-0.818122021519067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0
R2048438,0.7662852690848909,-0.24740140713829384,-0.26525813540103027,0.8694335713973095,0.9478831840426758,0.15195131916134233,-0.9852324443146561,-0.1270117087732673,2.690314660305167,-0.6262828060694792,-0.0016344044978261277,-0.009392246709420207,0.22109529739334122,0.47734649572084153,1.0763591766107998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,0
R2048397,0.7662852690848909,-0.59707136799394,-0.5226176057563171,0.8694335713973095,0.9478831840426758,0.23100803164613162,0.4098304676849651,-0.1270117087732673,-0.47793688914260624,-0.6262828060694792,-0.034447079775067904,-0.033464694038524714,0.018721271208822055,0.47734649572084153,1.0763591766107998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0
