,Sold Price,lat,lon,X,Y
R2050687,480000.0,49.2889719,-123.12753149999999,1350.2492950210444,1935.4811321601153
R2050161,700000.0,49.2784466,-123.12958859999999,1201.0291970958651,765.1211707484049
R2049384,1060000.0,49.2915866,-123.1327885,968.91146273572,2226.2225068578987
R2049572,861000.0,49.27494229999999,-123.11725890000001,2095.414030785824,375.4607893067525
R2050642,525000.0,49.2792068,-123.1176206,2069.1766532070774,849.6515539830293
R2048984,599000.0,49.2781262,-123.11061240000001,2577.5448853184976,729.4943162515254
R2048988,600000.0,49.2845344,-123.13401950000001,879.6158813121815,1442.0536451747025
R2048937,540000.0,49.2791479,-123.1099791,2623.483871277633,843.1021728037665
R2048438,750000.0,49.27877669999999,-123.1117008,2498.593373685827,801.8266160321194
R2048397,643000.0,49.27634519999999,-123.1173369,2089.7559841977463,531.4561518958591
R2048752,698808.0,49.27968019999999,-123.1088307,2706.787726441656,902.2912322554475
R2048704,459000.0,49.2827686,-123.10718700000001,2826.0201774443535,1245.7056437056128
R2048612,435000.0,49.2785529,-123.11504009999999,2256.3636945257917,776.9411914505861
R2048557,540000.0,49.28408599999999,-123.113394,2375.770239269661,1392.1938400661202
R2048549,607500.0,49.28045170000001,-123.1198485,1907.566884032779,988.0781181639878
R2049206,1388000.0,49.2785678,-123.1179095,2048.220119110193,778.5979958571994
R2047922,211000.0,49.278991999999995,-123.1339261,886.3910294080003,825.7668837395604
R2048097,851500.0,49.2794125,-123.119698,1918.4840123873919,872.5243503940592
R2048221,531500.0,49.2889505,-123.1288375,1255.5132841843465,1933.1015607297668
R2048066,800000.0,49.287684999999996,-123.12559740000002,1490.54708870757,1792.384381060815
R2048178,599900.0,49.2773389,-123.1216246,1778.730261639708,641.9505505035926
R2048963,828000.0,49.2777641,-123.12778970000001,1331.5197100290354,689.2306333131074
R2047949,410000.0,49.2785529,-123.11504009999999,2256.3636945257917,776.9411914505861
R2048234,373000.0,49.2787319,-123.13036909999998,1144.412461677516,796.8450833194851
R2047885,650000.0,49.278682,-123.1205503,1856.6589725437684,791.2964564806571
R2047968,611000.0,49.2761941,-123.1157455,2205.194642423993,514.6545984810435
R2048985,557000.0,49.2773752,-123.11823100000001,2024.8988116945247,645.9869263413443
R2048174,1433000.0,49.273320399999996,-123.13017990000002,1158.1368516062018,195.11373778234284
R2047961,625000.0,49.2856204,-123.12367240000002,1630.1847769607957,1562.8113355107832
R2048192,325000.0,49.283663,-123.12484099999999,1545.415632810812,1345.158386096502
R2048357,1498880.0,49.273632899999996,-123.1175051,2077.554914501735,229.86215235873584
R2048437,855000.0,49.2823018,-123.12492809999999,1539.0974807863417,1193.799851948144
R2047550,488900.0,49.28045170000001,-123.1198485,1907.566884032779,988.0781181639878
R2047655,520000.0,49.2777153,-123.1179345,2046.4066426387963,683.8043208926475
R2047676,835000.0,49.2763275,-123.12170719999999,1772.7385353812233,529.4880016957432
R2047681,1010000.0,49.2801011,-123.12652,1423.6225530297395,949.093176881914
R2047638,998800.0,49.2844553,-123.1283939,1287.6916106823787,1433.258126477044
R2047457,950999.0,49.2844553,-123.1283939,1287.6916106823787,1433.258126477044
R2047068,548000.0,49.27583430000001,-123.133078,947.911405204058,474.64666387531656
R2047041,610000.0,49.2784466,-123.12958859999999,1201.0291970958651,765.1211707484049
R2046981,640000.0,49.2906894,-123.14424369999999,137.96203599470653,2126.458418671927
R2047458,828000.0,49.2875878,-123.126725,1408.7520459694401,1781.576234191073
R2046780,450000.0,49.2784466,-123.12958859999999,1201.0291970958651,765.1211707484049
R2047040,1650000.0,49.274294299999994,-123.13346489999999,919.8460433419784,303.40647684127794
R2047003,780000.0,49.2785529,-123.11504009999999,2256.3636945257917,776.9411914505861
R2046877,588000.0,49.2786905,-123.11642309999999,2156.042176159666,792.2416133571198
R2046730,759000.0,49.2749955,-123.1223163,1728.55499464574,381.37635940542543
R2046717,1060000.0,49.2792068,-123.1176206,2069.1766532070774,849.6515539830293
R2046192,711000.0,49.2739532,-123.1287006,1265.4438813386432,265.47788736361093
R2046860,1358000.0,49.2761771,-123.1287753,1260.0252136439035,512.7642847281181
R2046683,950000.0,49.2746419,-123.11231090000001,2454.337293890663,342.0578333434701
R2046286,410000.0,49.2783621,-123.12694760000001,1392.604851472164,755.7251994469596
R2046700,298000.0,49.27683579999999,-123.13020729999998,1156.149281396726,586.0083829083718
R2046703,615000.0,49.2792068,-123.1176206,2069.1766532070774,849.6515539830293
R2046012,575000.0,49.2732654,-123.12759650000001,1345.5342561954128,188.99801681732114
R2047166,750000.0,49.2788861,-123.1079385,2771.507074732,813.9913410085568
R2045962,515000.0,49.2870299,-123.13092720000002,1103.9284129403834,1719.5405846164192
R2046587,651000.0,49.285925799999994,-123.14049070000002,410.2011237925508,1596.7702661074647
R2045970,452500.0,49.280890299999996,-123.10882859999998,2706.9400584664695,1036.84821298899
R2046214,470000.0,49.2774937,-123.1273488,1363.5021810695382,659.1635251486405
R2046824,550000.0,49.287684999999996,-123.12559740000002,1490.54708870757,1792.384381060815
R2046572,908888.0,49.2832675,-123.116417,2156.4846644180475,1301.1807926089996
R2046248,675000.0,49.27858459999999,-123.1107545,2567.237085059016,780.466070623746
R2045597,830000.0,49.27968019999999,-123.1088307,2706.787726441656,902.2912322554475
R2045814,500000.0,49.2830217,-123.1080219,2765.4573172257706,1273.8490796395613
R2045601,1301000.0,49.29056920000001,-123.12767749999999,1339.6585924313858,2113.0927884902862
R2046555,680000.0,49.2788489,-123.107294,2818.25849815028,809.8548897372356
R2045766,610000.0,49.28045170000001,-123.1198485,1907.566884032779,988.0781181639878
R2045825,506000.0,49.2875111,-123.13431299999999,858.3256675459207,1773.0475833181097
R2045942,646000.0,49.2834037,-123.1289615,1246.5184408891048,1316.3255416179918
R2046033,560000.0,49.275580299999994,-123.12802279999998,1314.6108554169684,446.4031525062186
R2045526,870000.0,49.27634519999999,-123.1173369,2089.7559841977463,531.4561518958591
R2046334,510000.0,49.2792146,-123.1214703,1789.9230384180146,850.5188744115113
R2045833,1750000.0,49.280496899999996,-123.109298,2672.8902242492964,993.1041288470096
R2046302,1405000.0,49.2732654,-123.12759650000001,1345.5342561954128,188.99801681732114
R2046053,1310000.0,49.2906894,-123.14424369999999,137.96203599470653,2126.458418671927
R2045517,390000.0,49.27582879999999,-123.11717140000002,2101.7611984331356,474.0350917771552
R2045531,1770000.0,49.2734047,-123.1198368,1908.4155910212482,204.4874700989894
R2045532,312000.0,49.281470500000005,-123.1356081,764.3803324509786,1101.3635094291417
R2047149,835000.0,49.2800899,-123.10843840000001,2735.2447992208563,947.8477937031629
R2045281,723000.0,49.2792068,-123.1176206,2069.1766532070774,849.6515539830293
R2045306,528000.0,49.2797553,-123.11788490000002,2050.004579955656,910.6419712476508
R2046387,434000.0,49.2825314,-123.12313940000001,1668.8480953190174,1219.330207106222
R2046107,822000.0,49.2812479,-123.1365253,697.8475076892379,1076.6115187571907
R2044782,363000.0,49.288139799999996,-123.1275746,1347.122861584377,1842.955833698758
R2045466,695000.0,49.2808784,-123.13364059999999,907.1009307050634,1035.5249933622583
R2044309,900000.0,49.288218,-123.12425139999999,1588.1846618985028,1851.651276962847
R2044322,563500.0,49.28168059999999,-123.1241123,1598.2748449820351,1124.7255635152244
R2044752,507000.0,49.2792146,-123.1214703,1789.9230384180146,850.5188744115113
R2046973,900000.0,49.273619700000005,-123.1252868,1513.0777203825135,228.39437932804714
R2044503,800000.0,49.27968019999999,-123.1088307,2706.787726441656,902.2912322554475
R2044685,419000.0,49.2810194,-123.1063855,2884.1602330995006,1051.203478019061
R2044571,720000.0,49.2795653,-123.1197933,1911.571040080757,889.5149351855894
R2044333,1889000.0,49.27283189999999,-123.13141829999999,1068.3044811492741,140.79501611614225
R2044678,582000.0,49.2852963,-123.13287779999999,962.433724783045,1526.7730597852515
R2044072,575000.0,49.28328320000001,-123.1390456,515.027317712781,1302.926552957968
R2044030,755000.0,49.2849545,-123.1234576,1645.7661667997795,1488.7666338580239
R2044069,810000.0,49.2732654,-123.12759650000001,1345.5342561954128,188.99801681732114
R2043727,650000.0,49.2777641,-123.12778970000001,1331.5197100290354,689.2306333131074
R2043770,543000.0,49.2777153,-123.1179345,2046.4066426387963,683.8043208926475
