,PicCount,Status,List Price,Sold Price,List Date,Sold Date,DOM,Tot BR,Tot Baths,TotFlArea,Yr Blt,TotalPrkng,Sold Price per SqFt,Full Baths,Half Baths,Price Per SQFT
R2050687,2.0,S,485000.0,480000.0,3/27/2016,3/27/2016,0.0,1.0,1.0,563.0,2006.0,1.0,852.58,1.0,0.0,852.58
R2050161,0.0,S,708000.0,700000.0,3/24/2016,3/29/2016,5.0,2.0,2.0,876.0,2003.0,1.0,799.09,2.0,0.0,799.09
R2049384,20.0,S,840000.0,1060000.0,3/24/2016,3/27/2016,3.0,2.0,2.0,839.0,1998.0,1.0,1263.41,1.0,1.0,1263.41
R2049572,15.0,S,828000.0,861000.0,3/24/2016,3/26/2016,2.0,2.0,2.0,1005.0,1998.0,1.0,856.72,2.0,0.0,856.72
R2050642,1.0,S,549900.0,525000.0,3/24/2016,3/24/2016,0.0,1.0,1.0,531.0,2010.0,1.0,988.7,1.0,0.0,988.7
R2048984,19.0,S,549000.0,599000.0,3/23/2016,3/30/2016,7.0,1.0,1.0,655.0,2007.0,1.0,914.5,1.0,0.0,914.5
R2048988,20.0,S,545800.0,600000.0,3/23/2016,3/29/2016,6.0,2.0,2.0,837.0,1982.0,1.0,716.85,2.0,0.0,716.85
R2048937,6.0,S,508000.0,540000.0,3/23/2016,3/28/2016,5.0,1.0,1.0,684.0,2007.0,0.0,789.47,1.0,0.0,789.47
R2048438,20.0,S,749900.0,750000.0,3/22/2016,3/30/2016,8.0,2.0,2.0,858.0,2012.0,1.0,874.13,2.0,0.0,874.13
R2048397,20.0,S,599000.0,643000.0,3/22/2016,3/29/2016,7.0,2.0,2.0,881.0,1994.0,1.0,729.85,2.0,0.0,729.85
R2048752,20.0,S,649000.0,698808.0,3/22/2016,3/29/2016,7.0,2.0,2.0,889.0,2009.0,1.0,786.06,2.0,0.0,786.06
R2048704,20.0,S,450000.0,459000.0,3/22/2016,3/28/2016,6.0,1.0,1.0,558.0,2009.0,1.0,822.58,1.0,0.0,822.58
R2048612,13.0,S,449988.0,435000.0,3/22/2016,3/27/2016,5.0,0.0,1.0,496.0,2009.0,0.0,877.02,1.0,0.0,877.02
R2048557,1.0,S,475000.0,540000.0,3/22/2016,3/24/2016,2.0,2.0,2.0,710.0,1996.0,1.0,760.56,2.0,0.0,760.56
R2048549,1.0,S,589000.0,607500.0,3/22/2016,3/23/2016,1.0,1.0,1.0,587.0,2011.0,1.0,1034.92,1.0,0.0,1034.92
R2049206,10.0,S,1388000.0,1388000.0,3/21/2016,3/31/2016,10.0,2.0,2.0,1170.0,2011.0,2.0,1186.32,2.0,0.0,1186.32
R2047922,16.0,S,210000.0,211000.0,3/21/2016,3/30/2016,9.0,1.0,1.0,439.0,1966.0,1.0,480.64,1.0,0.0,480.64
